Name,Biome,Type,Size,Behavior,HP,Damage,Speed,Notes
Lil Fishy,FRESHWATER/REEF,FISH,SMALL,SWARM,20,4,110,Direct chase enemy - common in lakes and reefs
Fish,FRESHWATER,FISH,LARGE,HORDE,150,20,90,Groups with allies before attacking
Pike,FRESHWATER,FISH,LARGE,SWARM/FAST,200,15,130,Fast direct chaser - freshwater predator
Jelly,SALTWATER/REEF,JELLYFISH,TINY,SWARM,8,5,120,Fragile swarm - found in shallows and reefs
Seahorse,SALTWATER/REEF,FISH,SMALL,RANGED/FAST,16,5,200,Fast shooter - shallow water creature
Noodle Boy,SALTWATER/DEEP,JELLYFISH,TINY,HORDE/FAST,4,5,160,Fast horde jellyfish - ocean to abyss
Bonk Boy,REEF,PLANT,MEDIUM,ARMORED,80,50,80,Stationary sea anemone guardian
Invisi Jelly,SALTWATER/DEEP,JELLYFISH,SMALL,SWARM/EVASIVE,18,10,110,Evasive chaser - ocean depths
Comb Jelly,DEEP,JELLYFISH,LARGE,RANGED/ARMORED,200,25,40,Heavy armor (10) - exclusive to the deep
Garden Eel,REEF,FISH,SMALL,RANGED/FAST,10,5,250,Very fast skirmisher with bubble shots
Crab Boss,DEEP/REEF,CRUSTACEAN,BOSS,ARMORED,2000,25,40,Boss crab - spike ring and meteors
